StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,2/22/21,2/28/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,427,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,3/1/21,3/7/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,427,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,3/8/21,3/14/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,428,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,3/15/21,3/21/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,428,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,3/22/21,3/28/21,,,,,,,,,0,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,3/29/21,4/4/21,,,,,,,,,0,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,4/12/21,4/18/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,394,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,4/19/21,4/25/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,394,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,4/26/21,5/2/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,394,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,5/3/21,5/9/21,,,,,,,,,0,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,5/10/21,5/16/21,In-person,In-person,In-person,In-person,,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,394,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,5/17/21,5/23/21,In-person,In-person,In-person,In-person,,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,394,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,5/24/21,5/30/21,,,,,,,,,0,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,5/31/21,6/6/21,,,,,,,,,0,,,61.27,
Washington,WA,District,No,,,,,Almira School District,Regular local school district,5300090,22017,118,Monthly,9/1/20,9/30/20,In-person,In-person,Virtual,,,Typical/Traditional In-Person,Small Groups + Remote,,,,,18.39,
Washington,WA,District,No,,,,,Almira School District,Regular local school district,5300090,22017,118,Monthly,10/1/20,10/31/20,In-person,In-person,Hybrid,,,Typical/Traditional In-Person,Phase-In,,,,,18.39,
Washington,WA,District,No,,,,,Almira School District,Regular local school district,5300090,22017,118,Monthly,11/1/20,11/30/20,In-person,In-person,In-person,,,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,,18.39,
Washington,WA,District,No,,,,,Almira School District,Regular local school district,5300090,22017,118,Monthly,12/1/20,12/31/20,,,,,,,,,,,,18.39,
Washington,WA,District,No,,,,,Almira School District,Regular local school district,5300090,22017,118,Weekly,1/1/21,1/10/21,,,,,,,,,,,,18.39,
Washington,WA,District,No,,,,,Almira School District,Regular local school district,5300090,22017,118,Weekly,1/11/21,1/17/21,,,,,,,,,,,,18.39,
Washington,WA,District,No,,,,,Almira School District,Regular local school district,5300090,22017,118,Weekly,1/18/21,1/24/21,In-person,In-person,In-person,Hybrid,,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,89,,,18.39,
