,Term,SchoolYear,county_fips,TeachingMethod,StudentMaskPolicy,useit,useit_ind
16136,Fall,2021-2022,13315,Full In-Person,Required all students,1,0.8214285714285714
16167,Fall,2021-2022,39107,Full In-Person,Required all students,1,0.8125
16168,Fall,2021-2022,47009,Full In-Person,Required all students,1,0.8314606741573034
16171,Fall,2021-2022,1037,Full In-Person,Required all students,1,0.8055555555555556
16172,Fall,2021-2022,16011,Full In-Person,Required all students,1,0.8203125
16178,Fall,2021-2022,48353,Full In-Person,Required all students,1,0.8
16197,Fall,2021-2022,18023,Full In-Person,Not required,1,0.8539325842696629
16203,Fall,2021-2022,27105,Full In-Person,Required all students,1,0.8041237113402062
16307,Fall,2021-2022,17015,Full In-Person,Required all students,1,0.8214285714285714
16310,Fall,2021-2022,47003,Full In-Person,Required all students,1,0.813953488372093
16331,Fall,2021-2022,29159,Full In-Person,Not required,1,0.8285714285714286
16356,Fall,2021-2022,36087,Full In-Person,Required all students,1,0.8076923076923077
16365,Fall,2021-2022,36087,Pending,,0,0.8076923076923077
16411,Fall,2021-2022,6085,Full In-Person,Required all students,1,0.8018867924528302
16412,Fall,2021-2022,21137,Full In-Person,Required all students,1,0.8
16471,Fall,2021-2022,5089,Full In-Person,Required all students,1,0.8214285714285714
16483,Fall,2021-2022,5089,Full In-Person,Not required,1,0.8214285714285714
16500,Fall,2021-2022,17145,Full In-Person,Not required,1,0.8
16501,Fall,2021-2022,17003,Full In-Person,Required all students,1,0.9583333333333334
16518,Fall,2021-2022,55115,Full In-Person,Not required,1,0.8461538461538461
16561,Fall,2021-2022,17041,Full In-Person,,1,0.825
16562,Fall,2021-2022,48441,Full In-Person,,1,0.8333333333333334
16589,Fall,2021-2022,17051,Full In-Person,Not required,1,0.8
16590,Fall,2021-2022,29007,Full In-Person,Not required,1,0.8333333333333334
16616,Fall,2021-2022,17041,Full In-Person,Required all students,1,0.825
16736,Fall,2021-2022,39131,Full In-Person,Required all students,1,0.8214285714285714
16737,Fall,2021-2022,47085,Full In-Person,Required all students,1,0.8125
16738,Fall,2021-2022,36107,Full In-Person,Required all students,1,0.8125
16780,Fall,2021-2022,1085,Full In-Person,Required all students,1,0.8035714285714286
16797,Fall,2021-2022,51840,Full In-Person,,1,0.8181818181818182
16799,Fall,2021-2022,21049,Full In-Person,,1,0.8181818181818182
16800,Fall,2021-2022,47051,Full In-Person,,1,0.8181818181818182
16810,Fall,2021-2022,5043,Full In-Person,,1,0.8269230769230769
16824,Fall,2021-2022,1093,Full In-Person,Required all students,1,0.8522727272727273
