,Term,DistrictID,SchoolYear,county_fips,Enrollment,TeachingMethod,StudentMaskPolicy,avg_enr,useit,useit_ind
55495,Fall,891707,2020-2021,48217,205.0,Hybrid,Required for all students,3384.1360544217687,1,0.8013245033112583
55496,Fall,891771,2020-2021,48237,373.0,On Premises,Unknown,1939.5,1,0.9375
55529,Fall,891173,2020-2021,20119,561.0,Hybrid,Required for all students,880.1875,1,0.8125
55535,Fall,891210,2020-2021,31139,5521.0,Hybrid,Required for middle/high school students only,1720.28125,1,0.875
55555,Fall,891372,2020-2021,48355,518.0,Unknown,Required for all students,4083.7936507936506,0,0.8571428571428571
55559,Fall,891479,2020-2021,48057,4027.0,Hybrid,Required for all students,4070.5,1,1.0
55563,Fall,891396,2020-2021,48409,4675.0,Hybrid,Required for all students,4505.1875,1,0.8303571428571429
55566,Fall,891396,2020-2021,26067,4675.0,Hybrid,Required for all students,5076.0847457627115,1,0.8319327731092437
55569,Fall,891396,2020-2021,5003,4675.0,Hybrid,Required for all students,4356.723214285715,1,0.8125
55574,Fall,891428,2020-2021,48493,799.0,On Premises,Required for all students,2284.1875,1,0.9375
55609,Fall,891175,2020-2021,48107,508.0,On Premises,Required for middle/high school students only,357.8333333333333,1,1.0
55613,Fall,891067,2020-2021,48461,296.0,Hybrid,Not required,432.625,1,0.875
55627,Fall,892007,2020-2021,28079,1262.0,Hybrid,Required for all students,2725.846153846154,1,0.8269230769230769
55628,Fall,891375,2020-2021,48391,702.0,Online Only,Required for all students,438.0,1,0.8125
55644,Fall,891641,2020-2021,48081,227.0,Online Only,Not required,228.5,1,1.0
55646,Fall,891691,2020-2021,17033,2441.0,Hybrid,Required for middle/high school students only,7142.3859649122805,1,0.8070175438596491
55650,Fall,891377,2020-2021,48355,2933.0,Online Only,Required for all students,4083.7936507936506,1,0.8571428571428571
55651,Fall,891131,2020-2021,48151,304.0,Hybrid,Not required,385.25,1,0.875
55653,Fall,891654,2020-2021,13315,200.0,On Premises,Required for middle/high school students only,2809.035714285714,1,0.8214285714285714
55658,Fall,891378,2020-2021,18147,2826.0,Hybrid,Required for all students,2723.1153846153848,1,0.8490566037735849
55659,Fall,891378,2020-2021,5059,2826.0,Hybrid,Required for all students,1488.3636363636363,1,0.8260869565217391
55663,Fall,892137,2020-2021,48397,16279.0,Hybrid,Unknown,8164.583333333333,1,0.8333333333333334
55668,Fall,891729,2020-2021,31037,895.0,Hybrid,Required for all students,3462.1041666666665,1,0.875
55671,Fall,891176,2020-2021,48219,428.0,Hybrid,Required for all students,823.2083333333334,1,0.875
55673,Fall,891100,2020-2021,48353,234.0,Hybrid,Required for all students,821.75,1,0.8
55682,Fall,891099,2020-2021,48353,756.0,Hybrid,Required for all students,821.75,1,0.8
55691,Fall,891101,2020-2021,48151,270.0,Hybrid,Pending,385.25,1,0.875
55693,Fall,891294,2020-2021,4001,50811.0,Hybrid,Required for all students,3304.1041666666665,1,0.8333333333333334
55696,Fall,892108,2020-2021,48397,6324.0,Hybrid,Required for middle/high school students only,8164.583333333333,1,0.8333333333333334
55698,Fall,891430,2020-2021,48255,294.0,Hybrid,Required for all students,611.7083333333334,1,0.9166666666666666
55709,Fall,891662,2020-2021,48451,1133.0,Hybrid,Unknown,6308.208333333333,1,0.8333333333333334
55710,Fall,891634,2020-2021,48451,14590.0,Online Only,Required for all students,6308.208333333333,1,0.8333333333333334
55711,Fall,101648458,2020-2021,48451,2800.0,Online Only,Unknown,6308.208333333333,1,0.8333333333333334
55874,Fall,891893,2020-2021,48405,809.0,Hybrid,Required for all students,594.5,1,0.875
55887,Fall,891047,2020-2021,48443,125.0,Online Only,Required for all students,125.0,1,1.0
55892,Fall,891557,2020-2021,48167,4735.0,Online Only,Required for all students,5530.115384615385,1,0.8481012658227848
55900,Fall,891522,2020-2021,6085,563.0,Hybrid,Required for all students,5668.215311004785,1,0.8018867924528302
55910,Fall,892101,2020-2021,48257,1117.0,Online Only,Required for all students,2646.9166666666665,1,0.8194444444444444
55911,Fall,891145,2020-2021,48165,582.0,Hybrid,Unknown,958.7777777777778,1,0.8518518518518519
55915,Fall,891146,2020-2021,12103,2945.0,Hybrid,Required for all students,13301.782608695652,1,0.8043478260869565
55916,Fall,891146,2020-2021,48165,2945.0,Hybrid,Required for all students,958.7777777777778,1,0.8518518518518519
