,NCESDistrictID,Covid Cases,TimePeriodStart,TimePeriodEnd,StateName,StateAbbrev,EnrollmentTotal,StudentMaskPolicy
154,4824480,0.0,2020-11-30,2021-05-09,Texas,TX,616.0,Required full school year
155,4824750,0.0,2020-11-30,2021-05-09,Texas,TX,1130.0,Required full school year
156,4825140,5.0,2020-11-30,2021-05-09,Texas,TX,1233.0,Required full school year
157,4825170,1527.0,2020-11-30,2021-05-09,Texas,TX,84450.0,Required full school year
158,4825500,0.0,2020-11-30,2021-05-09,Texas,TX,2881.0,Required full school year
159,4825530,0.0,2020-11-30,2021-05-09,Texas,TX,572.0,Required at least part of school year
160,4826100,12.0,2020-11-30,2021-05-09,Texas,TX,1874.0,Required full school year
161,4826310,0.0,2020-11-30,2021-05-09,Texas,TX,3192.0,Required full school year
162,4826340,0.0,2020-11-30,2021-05-09,Texas,TX,597.0,Required full school year
163,4826370,0.0,2020-11-30,2021-05-09,Texas,TX,888.0,Required full school year
164,4827090,6.0,2020-11-30,2021-05-09,Texas,TX,159.0,Required at least part of school year
165,4827120,0.0,2020-11-30,2021-05-09,Texas,TX,204.0,Required full school year
166,4827240,0.0,2020-11-30,2021-05-09,Texas,TX,2811.0,Required full school year
167,4827890,0.0,2020-11-30,2021-05-09,Texas,TX,454.0,Required at least part of school year
168,4827930,0.0,2020-11-30,2021-05-09,Texas,TX,104.0,Required full school year
169,4828200,8.0,2020-11-30,2021-05-09,Texas,TX,1742.0,Required full school year
170,4828350,0.0,2020-11-30,2021-05-09,Texas,TX,484.0,Required at least part of school year
171,4828620,15.0,2020-11-30,2021-05-09,Texas,TX,1450.0,Required full school year
172,4828800,0.0,2020-11-30,2021-05-09,Texas,TX,165.0,Required full school year
173,4829040,0.0,2020-11-30,2021-05-09,Texas,TX,293.0,Required full school year
174,4829460,0.0,2020-11-30,2021-05-09,Texas,TX,468.0,Required at least part of school year
175,4829520,0.0,2020-11-30,2021-05-09,Texas,TX,253.0,Required at least part of school year
176,4829760,0.0,2020-11-30,2021-05-09,Texas,TX,334.0,Required full school year
177,4829820,0.0,2020-11-30,2021-05-09,Texas,TX,1483.0,Required full school year
178,4830340,0.0,2020-11-30,2021-05-09,Texas,TX,1094.0,Required at least part of school year
179,4830570,192.0,2020-11-30,2021-05-09,Texas,TX,25703.0,Required full school year
180,4830600,98.0,2020-11-30,2021-05-09,Texas,TX,9841.0,Required full school year
181,4830660,0.0,2020-11-30,2021-05-09,Texas,TX,131.0,Required at least part of school year
182,4830810,0.0,2020-11-30,2021-05-09,Texas,TX,306.0,Required at least part of school year
183,4830930,0.0,2020-11-30,2021-05-09,Texas,TX,1587.0,Required at least part of school year
184,4831040,0.0,2020-11-30,2021-05-09,Texas,TX,15064.0,Required full school year
185,4831200,0.0,2020-11-30,2021-05-09,Texas,TX,152.0,Required full school year
186,4831380,0.0,2020-11-30,2021-05-09,Texas,TX,134.0,Required full school year
187,4831500,0.0,2020-11-30,2021-05-09,Texas,TX,166.0,Not required
188,4831560,0.0,2020-11-30,2021-05-09,Texas,TX,286.0,Required full school year
189,4831860,0.0,2020-11-30,2021-05-09,Texas,TX,523.0,Required full school year
190,4831950,0.0,2020-11-30,2021-05-09,Texas,TX,615.0,Required full school year
191,4831970,0.0,2020-11-30,2021-05-09,Texas,TX,396.0,Required at least part of school year
192,4832130,0.0,2020-11-30,2021-05-09,Texas,TX,1015.0,Required full school year
193,4832310,0.0,2020-11-30,2021-05-09,Texas,TX,3305.0,Required full school year
194,4832640,11.0,2020-11-30,2021-05-09,Texas,TX,1035.0,Required full school year
195,4832740,0.0,2020-11-30,2021-05-09,Texas,TX,1016.0,Required at least part of school year
196,4833120,607.0,2020-11-30,2021-05-09,Texas,TX,103188.0,Required full school year
197,4833240,0.0,2020-11-30,2021-05-09,Texas,TX,245.0,Required at least part of school year
198,4833340,0.0,2020-11-30,2021-05-09,Texas,TX,193.0,Required full school year
199,4833390,5.0,2020-11-30,2021-05-09,Texas,TX,298.0,Required at least part of school year
200,4833420,0.0,2020-11-30,2021-05-09,Texas,TX,185.0,Required full school year
201,4833630,0.0,2020-11-30,2021-05-09,Texas,TX,704.0,Required at least part of school year
202,4833690,0.0,2020-11-30,2021-05-09,Texas,TX,1180.0,Required full school year
203,4833780,11.0,2020-11-30,2021-05-09,Texas,TX,1791.0,Required full school year
204,4833900,0.0,2020-11-30,2021-05-09,Texas,TX,183.0,Required at least part of school year
205,4834020,0.0,2020-11-30,2021-05-09,Texas,TX,1300.0,Required full school year
206,4834110,0.0,2020-11-30,2021-05-09,Texas,TX,1251.0,Required at least part of school year
207,4834230,0.0,2020-11-30,2021-05-09,Texas,TX,670.0,Required at least part of school year
208,4834290,9.0,2020-11-30,2021-05-09,Texas,TX,3846.0,Required full school year
209,4834380,0.0,2020-11-30,2021-05-09,Texas,TX,92.0,Required full school year
210,4834500,0.0,2020-11-30,2021-05-09,Texas,TX,1381.0,Not required
211,4835040,0.0,2020-11-30,2021-05-09,Texas,TX,431.0,Required at least part of school year
212,4835070,28.0,2020-11-30,2021-05-09,Texas,TX,4822.0,Required at least part of school year
213,4835370,6.0,2020-11-30,2021-05-09,Texas,TX,502.0,Required full school year
214,4835550,0.0,2020-11-30,2021-05-09,Texas,TX,840.0,Required at least part of school year
215,4835730,0.0,2020-11-30,2021-05-09,Texas,TX,153.0,Required at least part of school year
216,4835850,11.0,2020-11-30,2021-05-09,Texas,TX,5853.0,Required at least part of school year
217,4836480,0.0,2020-11-30,2021-05-09,Texas,TX,351.0,Required at least part of school year
218,4836930,0.0,2020-11-30,2021-05-09,Texas,TX,649.0,Required full school year
219,4836970,0.0,2020-11-30,2021-05-09,Texas,TX,1226.0,Required full school year
220,4837020,392.0,2020-11-30,2021-05-09,Texas,TX,37824.0,Required full school year
221,4837080,0.0,2020-11-30,2021-05-09,Texas,TX,112.0,Required at least part of school year
222,4837170,0.0,2020-11-30,2021-05-09,Texas,TX,1732.0,Required full school year
223,4837200,0.0,2020-11-30,2021-05-09,Texas,TX,771.0,Required at least part of school year
224,4837230,0.0,2020-11-30,2021-05-09,Texas,TX,186.0,Not required
225,4837710,0.0,2020-11-30,2021-05-09,Texas,TX,891.0,Required at least part of school year
226,4837860,0.0,2020-11-30,2021-05-09,Texas,TX,681.0,Required full school year
227,4838040,0.0,2020-11-30,2021-05-09,Texas,TX,238.0,Required at least part of school year
228,4838080,0.0,2020-11-30,2021-05-09,Texas,TX,48334.0,Required full school year
229,4838430,0.0,2020-11-30,2021-05-09,Texas,TX,426.0,Required full school year
230,4838580,5.0,2020-11-30,2021-05-09,Texas,TX,2106.0,Required full school year
231,4838730,108.0,2020-11-30,2021-05-09,Texas,TX,45857.0,Required full school year
232,4838820,0.0,2020-11-30,2021-05-09,Texas,TX,1489.0,Required full school year
233,4838850,0.0,2020-11-30,2021-05-09,Texas,TX,3195.0,Required full school year
234,4838970,17.0,2020-11-30,2021-05-09,Texas,TX,8065.0,Required full school year
235,4839000,0.0,2020-11-30,2021-05-09,Texas,TX,232.0,Required full school year
236,4839120,0.0,2020-11-30,2021-05-09,Texas,TX,263.0,Required at least part of school year
237,4839690,0.0,2020-11-30,2021-05-09,Texas,TX,6893.0,Required full school year
238,4840290,0.0,2020-11-30,2021-05-09,Texas,TX,188.0,Required at least part of school year
239,4840350,0.0,2020-11-30,2021-05-09,Texas,TX,2115.0,Required full school year
240,4840410,0.0,2020-11-30,2021-05-09,Texas,TX,814.0,Required full school year
241,4840590,0.0,2020-11-30,2021-05-09,Texas,TX,412.0,Required at least part of school year
242,4840650,8.0,2020-11-30,2021-05-09,Texas,TX,2607.0,Required at least part of school year
243,4840770,0.0,2020-11-30,2021-05-09,Texas,TX,518.0,Required full school year
244,4841070,52.0,2020-11-30,2021-05-09,Texas,TX,4173.0,Required full school year
245,4841580,0.0,2020-11-30,2021-05-09,Texas,TX,673.0,Required full school year
246,4841790,0.0,2020-11-30,2021-05-09,Texas,TX,218.0,Required at least part of school year
247,4842280,5.0,2020-11-30,2021-05-09,Texas,TX,2931.0,Required full school year
248,4842420,0.0,2020-11-30,2021-05-09,Texas,TX,121.0,Required full school year
249,4842450,0.0,2020-11-30,2021-05-09,Texas,TX,5207.0,Required full school year
250,4842540,0.0,2020-11-30,2021-05-09,Texas,TX,171.0,Not required
251,4842570,0.0,2020-11-30,2021-05-09,Texas,TX,199.0,Not required
252,4842660,0.0,2020-11-30,2021-05-09,Texas,TX,779.0,Required full school year
253,4842720,0.0,2020-11-30,2021-05-09,Texas,TX,215.0,Required at least part of school year
254,4843200,0.0,2020-11-30,2021-05-09,Texas,TX,1160.0,Required at least part of school year
255,4843230,0.0,2020-11-30,2021-05-09,Texas,TX,1014.0,Required at least part of school year
256,4843470,18.0,2020-11-30,2021-05-09,Texas,TX,17709.0,Required full school year
257,4843560,0.0,2020-11-30,2021-05-09,Texas,TX,305.0,Required at least part of school year
258,4843860,0.0,2020-11-30,2021-05-09,Texas,TX,884.0,Required full school year
259,4843950,10.0,2020-11-30,2021-05-09,Texas,TX,1056.0,Required full school year
260,4844010,40.0,2020-11-30,2021-05-09,Texas,TX,2216.0,Required at least part of school year
261,4844250,0.0,2020-11-30,2021-05-09,Texas,TX,107.0,Required full school year
262,4844410,0.0,2020-11-30,2021-05-09,Texas,TX,1257.0,Required full school year
263,4844670,0.0,2020-11-30,2021-05-09,Texas,TX,811.0,Required full school year
264,4845090,0.0,2020-11-30,2021-05-09,Texas,TX,2516.0,Required full school year
265,4845240,0.0,2020-11-30,2021-05-09,Texas,TX,59.0,Required at least part of school year
266,4845420,0.0,2020-11-30,2021-05-09,Texas,TX,415.0,Required at least part of school year
267,4845450,0.0,2020-11-30,2021-05-09,Texas,TX,372.0,Required at least part of school year
268,4845600,16.0,2020-11-30,2021-05-09,Texas,TX,4758.0,Required at least part of school year
269,4846200,0.0,2020-11-30,2021-05-09,Texas,TX,1467.0,Required at least part of school year
270,4846260,0.0,2020-11-30,2021-05-09,Texas,TX,543.0,Required at least part of school year
271,4846350,0.0,2020-11-30,2021-05-09,Texas,TX,638.0,Required full school year
272,4846380,10.0,2020-11-30,2021-05-09,Texas,TX,426.0,Required full school year
273,4846440,0.0,2020-11-30,2021-05-09,Texas,TX,1238.0,Required full school year
274,4846470,0.0,2020-11-30,2021-05-09,Texas,TX,496.0,Required full school year
275,4899130,0.0,2020-11-30,2021-05-09,Texas,TX,247.0,Required full school year
